"date","region","cases","cumulative_cases"
2020-03-18,"Central (excluding Saskatoon)",0,0
2020-03-18,"Far North",0,0
2020-03-18,"North",0,2
2020-03-18,"Not Assigned",0,0
2020-03-18,"Regina",0,8
2020-03-18,"Saskatoon",0,5
2020-03-18,"South (excluding Regina)",0,1
2020-03-19,"Central (excluding Saskatoon)",1,1
2020-03-19,"Far North",0,0
2020-03-19,"North",0,2
2020-03-19,"Not Assigned",0,0
2020-03-19,"Regina",1,9
2020-03-19,"Saskatoon",1,6
2020-03-19,"South (excluding Regina)",1,2
2020-03-20,"Central (excluding Saskatoon)",2,3
2020-03-20,"Far North",0,0
2020-03-20,"North",0,2
2020-03-20,"Not Assigned",0,0
2020-03-20,"Regina",4,13
2020-03-20,"Saskatoon",0,6
2020-03-20,"South (excluding Regina)",0,2
2020-03-21,"Central (excluding Saskatoon)",1,4
2020-03-21,"Far North",0,0
2020-03-21,"North",0,2
2020-03-21,"Not Assigned",0,0
2020-03-21,"Regina",5,18
2020-03-21,"Saskatoon",12,18
2020-03-21,"South (excluding Regina)",0,2
2020-03-22,"Central (excluding Saskatoon)",0,4
2020-03-22,"Far North",0,0
2020-03-22,"North",1,3
2020-03-22,"Not Assigned",0,0
2020-03-22,"Regina",1,19
2020-03-22,"Saskatoon",3,21
2020-03-22,"South (excluding Regina)",3,5
2020-03-23,"Central (excluding Saskatoon)",4,8
2020-03-23,"Far North",0,0
2020-03-23,"North",0,3
2020-03-23,"Not Assigned",0,0
2020-03-23,"Regina",1,20
2020-03-23,"Saskatoon",9,30
2020-03-23,"South (excluding Regina)",0,5
2020-03-24,"Central (excluding Saskatoon)",0,8
2020-03-24,"Far North",0,0
2020-03-24,"North",0,3
2020-03-24,"Not Assigned",0,0
2020-03-24,"Regina",2,22
2020-03-24,"Saskatoon",4,34
2020-03-24,"South (excluding Regina)",0,5
2020-03-25,"Central (excluding Saskatoon)",0,8
2020-03-25,"Far North",0,0
2020-03-25,"North",0,3
2020-03-25,"Not Assigned",0,0
2020-03-25,"Regina",5,27
2020-03-25,"Saskatoon",7,41
2020-03-25,"South (excluding Regina)",2,7
2020-03-26,"Central (excluding Saskatoon)",5,13
2020-03-26,"Far North",0,0
2020-03-26,"North",0,3
2020-03-26,"Not Assigned",0,0
2020-03-26,"Regina",1,28
2020-03-26,"Saskatoon",3,44
2020-03-26,"South (excluding Regina)",0,7
2020-03-27,"Central (excluding Saskatoon)",0,8
2020-03-27,"Far North",0,3
2020-03-27,"North",0,13
2020-03-27,"Not Assigned",0,0
2020-03-27,"Regina",0,28
2020-03-27,"Saskatoon",0,48
2020-03-27,"South (excluding Regina)",0,4
2020-03-28,"Central (excluding Saskatoon)",3,11
2020-03-28,"Far North",0,3
2020-03-28,"North",13,26
2020-03-28,"Not Assigned",0,0
2020-03-28,"Regina",4,32
