"date","region","cumulative_deaths","deaths"
2020-04-04,"Central East",1,1
2020-04-04,"Central West",0,0
2020-04-04,"Far North Central",0,0
2020-04-04,"Far North East",0,0
2020-04-04,"Far North West",0,0
2020-04-04,"North Central",0,0
2020-04-04,"North East",0,0
2020-04-04,"North West",1,1
2020-04-04,"Regina",0,0
2020-04-04,"Saskatoon",1,1
2020-04-04,"South Central",0,0
2020-04-04,"South East",0,0
2020-04-04,"South West",0,0
2020-04-05,"Central East",1,0
2020-04-05,"Central West",0,0
2020-04-05,"Far North Central",0,0
2020-04-05,"Far North East",0,0
2020-04-05,"Far North West",0,0
2020-04-05,"North Central",0,0
2020-04-05,"North East",0,0
2020-04-05,"North West",1,0
2020-04-05,"Regina",0,0
2020-04-05,"Saskatoon",1,0
2020-04-05,"South Central",0,0
2020-04-05,"South East",0,0
2020-04-05,"South West",0,0
2020-04-06,"Central East",1,0
2020-04-06,"Central West",0,0
2020-04-06,"Far North Central",0,0
2020-04-06,"Far North East",0,0
2020-04-06,"Far North West",0,0
2020-04-06,"North Central",0,0
2020-04-06,"North East",0,0
2020-04-06,"North West",1,0
2020-04-06,"Regina",0,0
2020-04-06,"Saskatoon",1,0
2020-04-06,"South Central",0,0
2020-04-06,"South East",0,0
2020-04-06,"South West",0,0
2020-04-07,"Central East",1,0
2020-04-07,"Central West",0,0
2020-04-07,"Far North Central",0,0
2020-04-07,"Far North East",0,0
2020-04-07,"Far North West",0,0
2020-04-07,"North Central",0,0
2020-04-07,"North East",0,0
2020-04-07,"North West",1,0
2020-04-07,"Regina",0,0
2020-04-07,"Saskatoon",1,0
2020-04-07,"South Central",0,0
2020-04-07,"South East",0,0
2020-04-07,"South West",0,0
2020-04-08,"Central East",1,0
2020-04-08,"Central West",0,0
2020-04-08,"Far North Central",0,0
2020-04-08,"Far North East",0,0
2020-04-08,"Far North West",0,0
2020-04-08,"North Central",0,0
2020-04-08,"North East",0,0
2020-04-08,"North West",1,0
2020-04-08,"Regina",0,0
2020-04-08,"Saskatoon",1,0
2020-04-08,"South Central",0,0
2020-04-08,"South East",0,0
2020-04-08,"South West",0,0
2020-04-09,"Central East",1,0
2020-04-09,"Central West",0,0
2020-04-09,"Far North Central",0,0
2020-04-09,"Far North East",0,0
2020-04-09,"Far North West",0,0
2020-04-09,"North Central",0,0
2020-04-09,"North East",0,0
2020-04-09,"North West",1,0
2020-04-09,"Regina",0,0
2020-04-09,"Saskatoon",1,0
2020-04-09,"South Central",0,0
2020-04-09,"South East",0,0
2020-04-09,"South West",0,0
2020-04-10,"Central East",1,0
2020-04-10,"Central West",0,0
2020-04-10,"Far North Central",0,0
2020-04-10,"Far North East",0,0
2020-04-10,"Far North West",0,0
2020-04-10,"North Central",0,0
2020-04-10,"North East",0,0
2020-04-10,"North West",1,0
2020-04-10,"Regina",0,0
2020-04-10,"Saskatoon",1,0
2020-04-10,"South Central",0,0
2020-04-10,"South East",0,0
2020-04-10,"South West",0,0
2020-04-11,"Central East",1,0
2020-04-11,"Central West",0,0
2020-04-11,"Far North Central",0,0
2020-04-11,"Far North East",0,0
2020-04-11,"Far North West",0,0
2020-04-11,"North Central",0,0
2020-04-11,"North East",0,0
2020-04-11,"North West",1,0
2020-04-11,"Regina",1,1
2020-04-11,"Saskatoon",1,0
2020-04-11,"South Central",0,0
2020-04-11,"South East",0,0
2020-04-11,"South West",0,0
2020-04-12,"Central East",1,0
2020-04-12,"Central West",0,0
2020-04-12,"Far North Central",0,0
2020-04-12,"Far North East",0,0
2020-04-12,"Far North West",0,0
2020-04-12,"North Central",0,0
2020-04-12,"North East",0,0
2020-04-12,"North West",1,0
2020-04-12,"Regina",1,0
2020-04-12,"Saskatoon",1,0
2020-04-12,"South Central",0,0
2020-04-12,"South East",0,0
2020-04-12,"South West",0,0
2020-04-13,"Central East",1,0
2020-04-13,"Central West",0,0
2020-04-13,"Far North Central",0,0
2020-04-13,"Far North East",0,0
2020-04-13,"Far North West",0,0
2020-04-13,"North Central",0,0
2020-04-13,"North East",0,0
2020-04-13,"North West",1,0
2020-04-13,"Regina",1,0
2020-04-13,"Saskatoon",1,0
2020-04-13,"South Central",0,0
2020-04-13,"South East",0,0
2020-04-13,"South West",0,0
2020-04-14,"Central East",1,0
2020-04-14,"Central West",0,0
2020-04-14,"Far North Central",0,0
2020-04-14,"Far North East",0,0
2020-04-14,"Far North West",0,0
2020-04-14,"North Central",0,0
2020-04-14,"North East",0,0
2020-04-14,"North West",1,0
2020-04-14,"Regina",1,0
2020-04-14,"Saskatoon",1,0
2020-04-14,"South Central",0,0
2020-04-14,"South East",0,0
2020-04-14,"South West",0,0
2020-04-15,"Central East",1,0
2020-04-15,"Central West",0,0
2020-04-15,"Far North Central",0,0
2020-04-15,"Far North East",0,0
2020-04-15,"Far North West",0,0
2020-04-15,"North Central",0,0
2020-04-15,"North East",0,0
2020-04-15,"North West",1,0
2020-04-15,"Regina",1,0
2020-04-15,"Saskatoon",1,0
2020-04-15,"South Central",0,0
2020-04-15,"South East",0,0
2020-04-15,"South West",0,0
2020-04-16,"Central East",1,0
2020-04-16,"Central West",0,0
2020-04-16,"Far North Central",0,0
2020-04-16,"Far North East",0,0
2020-04-16,"Far North West",0,0
2020-04-16,"North Central",0,0
2020-04-16,"North East",0,0
2020-04-16,"North West",1,0
2020-04-16,"Regina",1,0
2020-04-16,"Saskatoon",1,0
2020-04-16,"South Central",0,0
2020-04-16,"South East",0,0
2020-04-16,"South West",0,0
2020-04-17,"Central East",1,0
2020-04-17,"Central West",0,0
2020-04-17,"Far North Central",0,0
2020-04-17,"Far North East",0,0
2020-04-17,"Far North West",0,0
2020-04-17,"North Central",0,0
2020-04-17,"North East",0,0
2020-04-17,"North West",1,0
2020-04-17,"Regina",1,0
2020-04-17,"Saskatoon",1,0
2020-04-17,"South Central",0,0
2020-04-17,"South East",0,0
2020-04-17,"South West",0,0
2020-04-18,"Central East",1,0
2020-04-18,"Central West",0,0
2020-04-18,"Far North Central",0,0
2020-04-18,"Far North East",0,0
2020-04-18,"Far North West",0,0
2020-04-18,"North Central",0,0
2020-04-18,"North East",0,0
2020-04-18,"North West",1,0
2020-04-18,"Regina",1,0
2020-04-18,"Saskatoon",1,0
2020-04-18,"South Central",0,0
2020-04-18,"South East",0,0
2020-04-18,"South West",0,0
2020-04-19,"Central East",1,0
2020-04-19,"Central West",0,0
2020-04-19,"Far North Central",0,0
2020-04-19,"Far North East",0,0
2020-04-19,"Far North West",0,0
2020-04-19,"North Central",0,0
2020-04-19,"North East",0,0
2020-04-19,"North West",1,0
2020-04-19,"Regina",1,0
2020-04-19,"Saskatoon",1,0
2020-04-19,"South Central",0,0
2020-04-19,"South East",0,0
2020-04-19,"South West",0,0
2020-04-20,"Central East",1,0
2020-04-20,"Central West",0,0
2020-04-20,"Far North Central",0,0
2020-04-20,"Far North East",0,0
2020-04-20,"Far North West",0,0
2020-04-20,"North Central",0,0
2020-04-20,"North East",0,0
2020-04-20,"North West",1,0
2020-04-20,"Regina",1,0
2020-04-20,"Saskatoon",1,0
2020-04-20,"South Central",0,0
2020-04-20,"South East",0,0
2020-04-20,"South West",0,0
2020-04-21,"Central East",1,0
2020-04-21,"Central West",0,0
2020-04-21,"Far North Central",0,0
2020-04-21,"Far North East",0,0
2020-04-21,"Far North West",0,0
2020-04-21,"North Central",0,0
2020-04-21,"North East",0,0
2020-04-21,"North West",1,0
2020-04-21,"Regina",1,0
2020-04-21,"Saskatoon",1,0
2020-04-21,"South Central",0,0
2020-04-21,"South East",0,0
2020-04-21,"South West",0,0
2020-04-22,"Central East",1,0
2020-04-22,"Central West",0,0
2020-04-22,"Far North Central",0,0
2020-04-22,"Far North East",0,0
2020-04-22,"Far North West",0,0
2020-04-22,"North Central",0,0
2020-04-22,"North East",0,0
2020-04-22,"North West",1,0
2020-04-22,"Regina",1,0
