"region","date","cumulative_deaths"
"Central East",2020-08-04,1
"Central East",2020-08-05,1
"Central East",2020-08-06,1
"Central East",2020-08-07,1
"Central East",2020-08-08,1
"Central East",2020-08-09,1
"Central East",2020-08-10,1
"Central East",2020-08-11,1
"Central East",2020-08-12,1
"Central East",2020-08-13,1
"Central East",2020-08-14,1
"Central East",2020-08-15,1
"Central East",2020-08-16,1
"Central East",2020-08-17,1
"Central East",2020-08-18,1
"Central East",2020-08-19,1
"Central East",2020-08-20,1
"Central East",2020-08-21,1
"Central East",2020-08-22,1
"Central East",2020-08-23,1
"Central East",2020-08-24,1
"Central East",2020-08-25,1
"Central East",2020-08-26,1
"Central East",2020-08-27,1
"Central East",2020-08-28,1
"Central East",2020-08-29,1
"Central East",2020-08-30,1
"Central East",2020-08-31,1
"Central East",2020-09-01,1
"Central East",2020-09-02,1
"Central East",2020-09-03,1
"Central East",2020-09-04,1
"Central East",2020-09-05,1
"Central East",2020-09-06,1
"Central East",2020-09-07,1
"Central East",2020-09-08,1
"Central East",2020-09-09,1
"Central East",2020-09-10,1
"Central East",2020-09-11,1
"Central East",2020-09-12,1
"Central East",2020-09-13,1
"Central East",2020-09-14,1
"Central East",2020-09-15,1
"Central East",2020-09-16,1
"Central East",2020-09-17,1
"Central East",2020-09-18,1
"Central East",2020-09-19,1
"Central East",2020-09-20,1
"Central East",2020-09-21,1
"Central East",2020-09-22,1
"Central East",2020-09-23,1
"Central East",2020-09-24,1
"Central East",2020-09-25,1
"Central East",2020-09-26,1
"Central East",2020-09-27,1
"Central East",2020-09-28,1
"Central East",2020-09-29,1
"Central East",2020-09-30,1
"Central East",2020-10-01,1
"Central East",2020-10-02,1
"Central East",2020-10-03,1
"Central East",2020-10-04,1
"Central East",2020-10-05,1
"Central East",2020-10-06,1
"Central East",2020-10-07,1
"Central East",2020-10-08,1
"Central East",2020-10-09,1
"Central East",2020-10-10,1
"Central East",2020-10-11,1
"Central East",2020-10-12,1
"Central East",2020-10-13,1
"Central East",2020-10-14,1
"Central East",2020-10-15,1
"Central East",2020-10-16,1
"Central East",2020-10-17,1
"Central East",2020-10-18,1
"Central East",2020-10-19,1
"Central East",2020-10-20,1
"Central East",2020-10-21,1
"Central East",2020-10-22,1
"Central East",2020-10-23,1
"Central East",2020-10-24,1
"Central East",2020-10-25,1
"Central East",2020-10-26,1
"Central East",2020-10-27,1
"Central East",2020-10-28,1
"Central East",2020-10-29,1
"Central East",2020-10-30,1
"Central East",2020-10-31,1
"Central East",2020-11-01,1
"Central East",2020-11-02,1
"Central East",2020-11-03,1
"Central East",2020-11-04,1
"Central East",2020-11-05,1
"Central East",2020-11-06,1
"Central East",2020-11-07,1
"Central East",2020-11-08,1
"Central East",2020-11-09,1
"Central East",2020-11-10,1
"Central East",2020-11-11,1
"Central East",2020-11-12,1
"Central East",2020-11-13,1
"Central East",2020-11-14,1
"Central East",2020-11-15,1
"Central East",2020-11-16,1
"Central East",2020-11-17,1
"Central East",2020-11-18,1
"Central East",2020-11-19,1
"Central East",2020-11-20,1
"Central East",2020-11-21,1
"Central East",2020-11-22,1
"Central East",2020-11-23,1
"Central East",2020-11-24,1
"Central East",2020-11-25,1
"Central East",2020-11-26,1
"Central East",2020-11-27,1
"Central East",2020-11-28,1
"Central East",2020-11-29,1
"Central East",2020-11-30,1
"Central East",2020-12-01,1
"Central East",2020-12-02,1
"Central East",2020-12-03,1
"Central East",2020-12-04,1
"Central East",2020-12-05,1
"Central East",2020-12-06,1
"Central East",2020-12-07,1
"Central East",2020-12-08,1
"Central East",2020-12-09,1
"Central East",2020-12-10,1
"Central East",2020-12-11,1
"Central East",2020-12-12,1
"Central East",2020-12-13,1
"Central East",2020-12-14,1
"Central East",2020-12-15,1
"Central East",2020-12-16,1
"Central East",2020-12-17,1
"Central East",2020-12-18,1
"Central East",2020-12-19,1
"Central East",2020-12-20,1
"Central East",2020-12-21,1
"Central East",2020-12-22,1
"Central East",2020-12-23,2
"Central East",2020-12-24,2
"Central East",2020-12-25,2
"Central East",2020-12-26,2
"Central East",2020-12-27,2
"Central East",2020-12-28,2
"Central East",2020-12-29,3
"Central East",2020-12-30,3
"Central East",2020-12-31,3
"Central East",2021-01-01,3
"Central East",2021-01-02,3
"Central East",2021-01-03,3
"Central East",2021-01-04,3
"Central East",2021-01-05,3
"Central East",2021-01-06,3
"Central East",2021-01-07,3
"Central East",2021-01-08,3
"Central East",2021-01-09,3
"Central East",2021-01-10,3
"Central East",2021-01-11,4
"Central East",2021-01-12,4
"Central East",2021-01-13,4
"Central East",2021-01-14,4
"Central East",2021-01-15,4
"Central East",2021-01-16,4
"Central East",2021-01-17,4
"Central East",2021-01-18,4
"Central East",2021-01-19,4
"Central East",2021-01-20,4
"Central East",2021-01-21,4
"Central East",2021-01-22,5
"Central East",2021-01-23,5
"Central East",2021-01-24,5
"Central East",2021-01-25,5
"Central East",2021-01-26,5
"Central East",2021-01-27,5
"Central East",2021-01-28,5
"Central East",2021-01-29,5
"Central East",2021-01-30,6
"Central East",2021-01-31,6
"Central East",2021-02-01,6
"Central East",2021-02-02,6
"Central East",2021-02-03,7
"Central East",2021-02-04,7
"Central East",2021-02-05,7
"Central East",2021-02-06,7
"Central East",2021-02-07,7
"Central East",2021-02-08,7
"Central East",2021-02-09,7
"Central East",2021-02-10,7
"Central East",2021-02-11,7
"Central East",2021-02-12,8
"Central East",2021-02-13,9
"Central East",2021-02-14,9
"Central East",2021-02-15,9
"Central East",2021-02-16,9
"Central East",2021-02-17,9
"Central East",2021-02-18,9
"Central East",2021-02-19,9
"Central East",2021-02-20,9
"Central East",2021-02-21,9
"Central East",2021-02-22,9
"Central East",2021-02-23,9
"Central East",2021-02-24,10
"Central East",2021-02-25,10
"Central East",2021-02-26,10
"Central East",2021-02-27,10
"Central East",2021-02-28,10
"Central East",2021-03-01,10
"Central East",2021-03-02,10
"Central East",2021-03-03,10
"Central East",2021-03-04,10
"Central East",2021-03-05,10
"Central East",2021-03-06,10
"Central East",2021-03-07,10
"Central East",2021-03-08,10
