"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","30783","","","","0"
"1970-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","40052","","","","0"
"1970-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","42488","","","","0"
"1970-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34390","","","","0"
"1971-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","27899","","","","0"
"1971-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","31278","","","","0"
"1971-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","34828","","","","0"
"1971-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","27895","","","","0"
"1972-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","23567","","","","0"
"1972-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","30746","","","","0"
"1972-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","32474","","","","0"
"1972-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","35219","","","","0"
"1973-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","26288","","","","0"
"1973-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","44545","","","","0"
"1973-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","49057","","","","0"
"1973-10","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","64310","","","","0"
"1974-01","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","45302","","","","0"
"1974-04","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","58787","","","","0"
"1974-07","Canada","2016A000011124","Immigrants","Persons","249","units","0","v29850342","1.1","62312","","","","0"
